rec_date,open,high,low,close,volume,weekday,month,holiday,close_change,volume_change,price_gap,is_closed_by_high,is_closed_by_low,up_down,dj_headline_neu,dj_headline_compound,dj_headline_neg,dj_headline_pos,nytimes_headline_neu,nytimes_headline_compound,nytimes_headline_neg,nytimes_headline_pos,wsj_headline_neu,wsj_headline_compound,wsj_headline_neg,wsj_headline_pos,dj_abstract_neu,dj_abstract_compound,dj_abstract_neg,dj_abstract_pos,nytimes_abstract_neu,nytimes_abstract_compound,nytimes_abstract_neg,nytimes_abstract_pos,wsj_abstract_neu,wsj_abstract_compound,wsj_abstract_neg,wsj_abstract_pos
2010-01-01,46.2599983215332,46.279998779296875,45.75,45.75,50079200.0,5,1,1,0.0,0.0,0.529998779296875,0,1,1,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-02,46.2599983215332,46.279998779296875,45.75,45.75,50079200.0,6,1,0,0.0,0.0,0.529998779296875,0,1,1,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-03,46.2599983215332,46.279998779296875,45.75,45.75,50079200.0,7,1,0,0.0,0.0,0.529998779296875,0,1,1,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-04,46.33000183105469,46.4900016784668,46.27000045776367,46.41999816894531,62822800.0,1,1,0,0.6699981689453125,12743600.0,0.220001220703125,1,1,1,5.0,0.0,0.0,0.0,27.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-05,46.38999938964844,46.5,46.15999984741211,46.41999816894531,62935600.0,2,1,0,0.0,112800.0,0.3400001525878906,1,1,1,14.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,36.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-06,46.400001525878906,46.54999923706055,46.06999969482422,46.13999938964844,96033000.0,3,1,0,-0.279998779296875,33097400.0,0.4799995422363281,1,1,0,9.0,1.0,0.0,0.0,45.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2010-01-07,46.209999084472656,46.27000045776367,45.91999816894531,46.16999816894531,77094100.0,4,1,0,0.029998779296875,-18938900.0,0.3500022888183594,1,1,1,38.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,54.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
2010-01-08,46.06999969482422,46.54999923706055,45.93000030517578,46.54999923706055,88886600.0,5,1,0,0.3800010681152344,11792500.0,0.6199989318847656,1,0,1,34.0,1.0,0.0,0.0,41.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,42.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
2010-01-09,46.06999969482422,46.54999923706055,45.93000030517578,46.54999923706055,88886600.0,6,1,0,0.0,0.0,0.6199989318847656,1,0,1,15.0,1.0,0.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2010-01-10,46.06999969482422,46.54999923706055,45.93000030517578,46.54999923706055,88886600.0,7,1,0,0.0,0.0,0.6199989318847656,1,0,1,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,46.61000061035156,46.63999938964844,46.119998931884766,46.36000061035156,104673400.0,1,1,0,-0.18999862670898438,15786800.0,0.5200004577636719,1,1,0,8.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,46.08000183105469,46.13999938964844,45.529998779296875,45.779998779296875,90673900.0,2,1,0,-0.5800018310546875,-13999500.0,0.6100006103515625,1,1,0,10.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,27.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-01-13,45.91999816894531,46.4900016784668,45.61000061035156,46.349998474121094,100661000.0,3,1,0,0.5699996948242188,9987100.0,0.8800010681152344,1,0,1,9.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,49.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-14,46.2599983215332,46.52000045776367,46.220001220703125,46.38999938964844,75209000.0,4,1,0,0.04000091552734375,-25452000.0,0.2999992370605469,1,1,1,12.0,1.0,0.0,0.0,31.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,33.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
2010-01-15,46.470001220703125,46.54999923706055,45.650001525878906,45.849998474121094,126849300.0,5,1,0,-0.5400009155273438,51640300.0,0.8999977111816406,0,1,0,14.0,0.0,0.0,0.0,31.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,33.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
2010-01-16,46.470001220703125,46.54999923706055,45.650001525878906,45.849998474121094,126849300.0,6,1,0,0.0,0.0,0.8999977111816406,0,1,1,1.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-17,46.470001220703125,46.54999923706055,45.650001525878906,45.849998474121094,126849300.0,7,1,0,0.0,0.0,0.8999977111816406,0,1,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-18,46.470001220703125,46.54999923706055,45.650001525878906,45.849998474121094,126849300.0,1,1,1,0.0,0.0,0.8999977111816406,0,1,1,1.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-19,45.959999084472656,46.63999938964844,45.95000076293945,46.59000015258789,84388200.0,2,1,0,0.7400016784667969,-42461100.0,0.6899986267089844,1,0,1,5.0,1.0,0.0,0.0,31.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-01-20,46.2599983215332,46.599998474121094,45.43000030517578,45.91999816894531,145680000.0,3,1,0,-0.6700019836425781,61291800.0,1.1699981689453125,0,0,0,2.0,0.0,0.0,0.0,37.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0
2010-01-21,46.04999923706055,46.349998474121094,45.29999923706055,45.4900016784668,204939600.0,4,1,0,-0.4299964904785156,59259600.0,1.0499992370605469,0,1,0,5.0,0.0,0.0,0.0,40.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,39.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-01-22,45.34000015258789,45.47999954223633,44.040000915527344,44.15999984741211,171098700.0,5,1,0,-1.3300018310546875,-33840900.0,1.4399986267089844,0,1,0,10.0,0.0,0.0,0.0,29.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-23,45.34000015258789,45.47999954223633,44.040000915527344,44.15999984741211,171098700.0,6,1,0,0.0,0.0,1.4399986267089844,0,1,1,3.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-24,45.34000015258789,45.47999954223633,44.040000915527344,44.15999984741211,171098700.0,7,1,0,0.0,0.0,1.4399986267089844,0,1,1,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,44.43000030517578,44.599998474121094,44.119998931884766,44.310001373291016,154218700.0,1,1,0,0.15000152587890625,-16880000.0,0.4799995422363281,1,1,1,7.0,0.0,0.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,44.2599983215332,44.88999938964844,44.04999923706055,44.349998474121094,140816500.0,2,1,0,0.039997100830078125,-13402200.0,0.8400001525878906,0,1,1,8.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-01-27,44.27000045776367,44.849998474121094,44.0099983215332,44.70000076293945,161632700.0,3,1,0,0.3500022888183594,20816200.0,0.8400001525878906,1,0,1,8.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
2010-01-28,44.400001525878906,44.43000030517578,43.31999969482422,43.54999923706055,221439800.0,4,1,0,-1.1500015258789062,59807100.0,1.1100006103515625,0,1,0,14.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,24.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
2010-01-29,43.90999984741211,44.02000045776367,42.630001068115234,42.790000915527344,212099600.0,5,1,0,-0.7599983215332031,-9340200.0,1.3899993896484375,0,1,0,12.0,0.0,0.0,0.0,33.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
2010-01-30,43.90999984741211,44.02000045776367,42.630001068115234,42.790000915527344,212099600.0,6,1,0,0.0,0.0,1.3899993896484375,0,1,1,11.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
2010-01-31,43.90999984741211,44.02000045776367,42.630001068115234,42.790000915527344,212099600.0,7,1,0,0.0,0.0,1.3899993896484375,0,1,1,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
