rec_date,dj_headline_pos,dj_headline_neg,nytimes_headline_pos,nytimes_headline_neg,wsj_headline_pos,wsj_headline_neg,dj_abstract_neg,dj_abstract_pos,nytimes_abstract_neg,nytimes_abstract_pos,wsj_abstract_neg,wsj_abstract_pos
2010-01-04,5.0,0.0,31.0,1.0,2.0,0.0,0.0,5.0,0.0,32.0,0.0,2.0
2010-01-05,14.0,0.0,38.0,1.0,2.0,0.0,0.0,14.0,0.0,39.0,0.0,2.0
2010-01-06,10.0,0.0,45.0,1.0,4.0,0.0,0.0,10.0,0.0,46.0,0.0,4.0
2010-01-07,36.0,0.0,60.0,0.0,6.0,0.0,0.0,36.0,0.0,60.0,0.0,6.0
2010-01-08,32.0,0.0,43.0,1.0,4.0,0.0,0.0,32.0,0.0,44.0,0.0,4.0
2010-01-09,16.0,0.0,19.0,1.0,2.0,0.0,0.0,16.0,0.0,20.0,0.0,2.0
2010-01-10,1.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
2010-01-11,8.0,0.0,46.0,1.0,0.0,0.0,0.0,8.0,0.0,47.0,0.0,0.0
2010-01-12,9.0,0.0,29.0,0.0,1.0,0.0,0.0,9.0,0.0,29.0,0.0,1.0
2010-01-13,9.0,0.0,51.0,0.0,2.0,0.0,0.0,9.0,0.0,51.0,0.0,2.0
2010-01-14,13.0,0.0,34.0,0.0,4.0,0.0,0.0,13.0,0.0,34.0,0.0,4.0
2010-01-15,14.0,0.0,35.0,1.0,3.0,0.0,0.0,14.0,0.0,36.0,0.0,3.0
2010-01-16,1.0,0.0,26.0,0.0,2.0,0.0,0.0,1.0,0.0,26.0,0.0,2.0
2010-01-18,1.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0
2010-01-19,6.0,0.0,31.0,2.0,1.0,0.0,0.0,6.0,0.0,33.0,0.0,1.0
2010-01-20,2.0,0.0,41.0,0.0,2.0,0.0,0.0,2.0,0.0,41.0,0.0,2.0
2010-01-21,5.0,0.0,40.0,2.0,1.0,0.0,0.0,5.0,0.0,42.0,0.0,1.0
2010-01-22,10.0,0.0,31.0,0.0,2.0,0.0,0.0,10.0,0.0,31.0,0.0,2.0
2010-01-23,4.0,0.0,9.0,2.0,2.0,0.0,0.0,4.0,0.0,11.0,0.0,2.0
2010-01-24,1.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
2010-01-25,7.0,0.0,37.0,1.0,0.0,0.0,0.0,7.0,0.0,38.0,0.0,0.0
2010-01-26,8.0,1.0,29.0,0.0,1.0,0.0,1.0,8.0,0.0,29.0,0.0,1.0
2010-01-27,8.0,0.0,46.0,1.0,2.0,0.0,0.0,8.0,0.0,47.0,0.0,2.0
2010-01-28,16.0,0.0,29.0,0.0,1.0,0.0,0.0,16.0,0.0,29.0,0.0,1.0
2010-01-29,12.0,0.0,37.0,2.0,3.0,0.0,0.0,12.0,0.0,39.0,0.0,3.0
2010-01-30,11.0,0.0,19.0,0.0,4.0,0.0,0.0,11.0,0.0,19.0,0.0,4.0
2010-02-01,3.0,0.0,36.0,0.0,0.0,0.0,0.0,3.0,0.0,36.0,0.0,0.0
2010-02-02,8.0,0.0,29.0,1.0,2.0,0.0,0.0,8.0,0.0,30.0,0.0,2.0
2010-02-03,10.0,0.0,42.0,0.0,1.0,0.0,0.0,10.0,0.0,42.0,0.0,1.0
2010-02-04,12.0,0.0,32.0,2.0,1.0,0.0,0.0,12.0,0.0,34.0,0.0,1.0
2010-02-05,9.0,0.0,36.0,1.0,0.0,0.0,0.0,9.0,0.0,37.0,0.0,0.0
2010-02-06,4.0,0.0,9.0,1.0,1.0,0.0,0.0,4.0,0.0,10.0,0.0,1.0
2010-02-08,6.0,0.0,26.0,0.0,0.0,0.0,0.0,6.0,0.0,26.0,0.0,0.0
2010-02-09,14.0,1.0,33.0,2.0,1.0,0.0,0.0,15.0,0.0,35.0,0.0,1.0
2010-02-10,7.0,1.0,33.0,0.0,2.0,0.0,0.0,8.0,0.0,33.0,0.0,2.0
2010-02-11,14.0,0.0,31.0,0.0,3.0,0.0,0.0,14.0,0.0,31.0,0.0,3.0
2010-02-12,10.0,0.0,35.0,1.0,5.0,0.0,0.0,10.0,0.0,36.0,0.0,5.0
2010-02-13,5.0,0.0,19.0,1.0,1.0,0.0,0.0,5.0,0.0,20.0,0.0,1.0
2010-02-15,8.0,0.0,23.0,0.0,1.0,0.0,0.0,8.0,0.0,23.0,0.0,1.0
2010-02-16,6.0,0.0,31.0,2.0,0.0,0.0,0.0,6.0,0.0,33.0,0.0,0.0
2010-02-17,15.0,0.0,28.0,0.0,1.0,0.0,0.0,15.0,0.0,28.0,0.0,1.0
2010-02-18,11.0,0.0,35.0,3.0,0.0,0.0,0.0,11.0,0.0,38.0,0.0,0.0
2010-02-19,13.0,0.0,25.0,1.0,0.0,0.0,0.0,13.0,0.0,26.0,0.0,0.0
2010-02-20,2.0,0.0,18.0,2.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0
2010-02-22,6.0,0.0,29.0,1.0,0.0,0.0,0.0,6.0,0.0,30.0,0.0,0.0
2010-02-23,12.0,0.0,26.0,0.0,2.0,0.0,0.0,12.0,0.0,26.0,0.0,2.0
2010-02-24,8.0,0.0,44.0,0.0,1.0,0.0,0.0,8.0,0.0,44.0,0.0,1.0
2010-02-25,16.0,0.0,24.0,0.0,0.0,0.0,0.0,16.0,0.0,24.0,0.0,0.0
2010-02-26,16.0,0.0,26.0,0.0,1.0,0.0,0.0,16.0,0.0,26.0,0.0,1.0
2010-02-27,9.0,0.0,15.0,0.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0
2010-03-01,7.0,0.0,32.0,0.0,0.0,0.0,0.0,7.0,0.0,32.0,0.0,0.0
2010-03-02,12.0,0.0,30.0,0.0,1.0,0.0,0.0,12.0,0.0,30.0,0.0,1.0
2010-03-03,16.0,0.0,30.0,0.0,3.0,0.0,0.0,16.0,0.0,30.0,0.0,3.0
2010-03-04,14.0,0.0,32.0,1.0,1.0,0.0,0.0,14.0,0.0,33.0,0.0,1.0
2010-03-05,10.0,1.0,27.0,2.0,2.0,0.0,1.0,10.0,0.0,29.0,0.0,2.0
2010-03-06,5.0,0.0,13.0,3.0,1.0,0.0,0.0,5.0,0.0,16.0,0.0,1.0
2010-03-08,5.0,0.0,34.0,0.0,1.0,0.0,0.0,5.0,0.0,34.0,0.0,1.0
2010-03-09,12.0,1.0,35.0,1.0,0.0,0.0,0.0,13.0,0.0,36.0,0.0,0.0
