rec_date,dj_headline_neu,dj_headline_pos,dj_headline_neg,nytimes_headline_neu,nytimes_headline_pos,nytimes_headline_neg,wsj_headline_neu,wsj_headline_pos,wsj_headline_neg,dj_abstract_neu,dj_abstract_neg,dj_abstract_pos,nytimes_abstract_neu,nytimes_abstract_neg,nytimes_abstract_pos,wsj_abstract_neu,wsj_abstract_neg,wsj_abstract_pos
2010-01-04,5.0,0.0,0.0,29.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0
2010-01-05,14.0,0.0,0.0,37.0,1.0,1.0,2.0,0.0,0.0,14.0,0.0,0.0,39.0,0.0,0.0,2.0,0.0,0.0
2010-01-06,10.0,0.0,0.0,45.0,0.0,1.0,4.0,0.0,0.0,10.0,0.0,0.0,46.0,0.0,0.0,4.0,0.0,0.0
2010-01-07,38.0,0.0,0.0,60.0,0.0,0.0,6.0,0.0,0.0,38.0,0.0,0.0,60.0,0.0,0.0,6.0,0.0,0.0
2010-01-08,35.0,0.0,0.0,41.0,2.0,1.0,4.0,0.0,0.0,35.0,0.0,0.0,43.0,0.0,1.0,4.0,0.0,0.0
2010-01-09,15.0,1.0,0.0,18.0,1.0,1.0,2.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0
2010-01-10,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2010-01-11,8.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,10.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0
2010-01-13,9.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,51.0,0.0,0.0,2.0,0.0,0.0
2010-01-14,13.0,0.0,0.0,32.0,2.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,34.0,0.0,0.0,4.0,0.0,0.0
2010-01-15,14.0,0.0,0.0,34.0,1.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,36.0,0.0,0.0,3.0,0.0,0.0
2010-01-16,1.0,0.0,0.0,24.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0
2010-01-18,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0
2010-01-19,6.0,0.0,0.0,31.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0
2010-01-20,2.0,0.0,0.0,39.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0
2010-01-21,5.0,0.0,0.0,40.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0
2010-01-22,10.0,0.0,0.0,30.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,0.0
2010-01-23,3.0,1.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0
2010-01-24,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
2010-01-25,7.0,0.0,0.0,34.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
2010-01-26,8.0,0.0,1.0,29.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0
2010-01-27,8.0,0.0,0.0,46.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,47.0,0.0,0.0,2.0,0.0,0.0
2010-01-28,15.0,1.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0
2010-01-29,12.0,0.0,0.0,36.0,1.0,2.0,3.0,0.0,0.0,12.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0,0.0
2010-01-30,11.0,0.0,0.0,18.0,1.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,19.0,0.0,0.0,4.0,0.0,0.0
2010-02-01,3.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0
2010-02-02,8.0,0.0,0.0,27.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0
2010-02-03,10.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0
2010-02-04,12.0,0.0,0.0,31.0,1.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,0.0
2010-02-05,9.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
2010-02-06,4.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0
2010-02-08,6.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
