rec_date,dj_headline_neg,dj_headline_pos,nytimes_headline_neg,nytimes_headline_pos,wsj_headline_neg,wsj_headline_pos,dj_abstract_neg,dj_abstract_pos,nytimes_abstract_neg,nytimes_abstract_pos,wsj_abstract_neg,wsj_abstract_pos
2010-01-04,0.0,5.0,5.0,27.0,0.0,2.0,0.0,5.0,1.0,31.0,0.0,2.0
2010-01-05,0.0,14.0,2.0,37.0,0.0,2.0,0.0,14.0,3.0,36.0,0.0,2.0
2010-01-06,1.0,9.0,1.0,45.0,0.0,4.0,2.0,8.0,0.0,46.0,0.0,4.0
2010-01-07,0.0,38.0,1.0,59.0,0.0,6.0,1.0,37.0,6.0,54.0,0.0,6.0
2010-01-08,1.0,34.0,3.0,41.0,0.0,4.0,3.0,32.0,1.0,43.0,0.0,4.0
2010-01-09,1.0,15.0,2.0,18.0,0.0,2.0,0.0,16.0,0.0,20.0,1.0,1.0
2010-01-10,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
2010-01-11,0.0,8.0,1.0,46.0,0.0,0.0,1.0,7.0,2.0,45.0,0.0,0.0
2010-01-12,0.0,10.0,1.0,28.0,0.0,1.0,1.0,9.0,2.0,27.0,0.0,1.0
2010-01-13,0.0,9.0,1.0,50.0,0.0,2.0,0.0,9.0,2.0,49.0,0.0,2.0
2010-01-14,1.0,12.0,2.0,32.0,0.0,4.0,1.0,12.0,1.0,33.0,0.0,4.0
2010-01-15,0.0,14.0,4.0,32.0,0.0,3.0,1.0,13.0,3.0,33.0,1.0,2.0
2010-01-16,0.0,1.0,0.0,26.0,0.0,2.0,0.0,1.0,0.0,26.0,0.0,2.0
2010-01-18,0.0,1.0,1.0,24.0,0.0,0.0,0.0,1.0,2.0,23.0,0.0,0.0
2010-01-19,1.0,5.0,2.0,31.0,0.0,1.0,0.0,6.0,2.0,31.0,0.0,1.0
2010-01-20,0.0,2.0,3.0,38.0,0.0,2.0,0.0,2.0,4.0,37.0,1.0,1.0
2010-01-21,0.0,5.0,2.0,40.0,0.0,1.0,0.0,5.0,3.0,39.0,0.0,1.0
2010-01-22,0.0,10.0,1.0,30.0,0.0,2.0,0.0,10.0,1.0,30.0,0.0,2.0
2010-01-23,1.0,3.0,2.0,9.0,0.0,2.0,0.0,4.0,3.0,8.0,0.0,2.0
2010-01-24,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
2010-01-25,0.0,7.0,4.0,34.0,0.0,0.0,0.0,7.0,2.0,36.0,0.0,0.0
2010-01-26,1.0,8.0,0.0,29.0,0.0,1.0,1.0,8.0,1.0,28.0,0.0,1.0
2010-01-27,0.0,8.0,1.0,46.0,0.0,2.0,0.0,8.0,3.0,44.0,0.0,2.0
2010-01-28,2.0,14.0,0.0,29.0,0.0,1.0,3.0,13.0,5.0,24.0,0.0,1.0
2010-01-29,0.0,12.0,6.0,33.0,0.0,3.0,0.0,12.0,2.0,37.0,0.0,3.0
2010-01-30,0.0,11.0,1.0,18.0,0.0,4.0,0.0,11.0,2.0,17.0,0.0,4.0
2010-02-01,0.0,3.0,2.0,34.0,0.0,0.0,0.0,3.0,1.0,35.0,0.0,0.0
2010-02-02,0.0,8.0,3.0,27.0,0.0,2.0,0.0,8.0,1.0,29.0,0.0,2.0
2010-02-03,0.0,10.0,1.0,41.0,0.0,1.0,1.0,9.0,1.0,41.0,0.0,1.0
2010-02-04,0.0,12.0,4.0,30.0,0.0,1.0,0.0,12.0,4.0,30.0,0.0,1.0
2010-02-05,0.0,9.0,2.0,35.0,0.0,0.0,0.0,9.0,0.0,37.0,0.0,0.0
2010-02-06,0.0,4.0,1.0,9.0,0.0,1.0,0.0,4.0,1.0,9.0,0.0,1.0
2010-02-08,0.0,6.0,0.0,26.0,0.0,0.0,2.0,4.0,1.0,25.0,0.0,0.0
2010-02-09,1.0,15.0,3.0,32.0,0.0,1.0,0.0,16.0,2.0,33.0,0.0,1.0
2010-02-10,2.0,7.0,0.0,33.0,0.0,2.0,0.0,9.0,3.0,30.0,0.0,2.0
2010-02-11,0.0,16.0,3.0,28.0,0.0,3.0,1.0,15.0,1.0,30.0,0.0,3.0
2010-02-12,0.0,10.0,3.0,33.0,0.0,5.0,0.0,10.0,2.0,34.0,0.0,5.0
2010-02-13,0.0,5.0,1.0,19.0,0.0,1.0,0.0,5.0,1.0,19.0,0.0,1.0
2010-02-15,0.0,8.0,1.0,22.0,0.0,1.0,1.0,7.0,0.0,23.0,0.0,1.0
2010-02-16,0.0,7.0,2.0,31.0,0.0,0.0,0.0,7.0,4.0,29.0,0.0,0.0
2010-02-17,0.0,15.0,1.0,27.0,0.0,1.0,3.0,12.0,0.0,28.0,0.0,1.0
2010-02-18,0.0,11.0,5.0,33.0,0.0,0.0,1.0,10.0,5.0,33.0,0.0,0.0
2010-02-19,0.0,13.0,1.0,25.0,0.0,0.0,0.0,13.0,3.0,23.0,0.0,0.0
2010-02-20,0.0,2.0,2.0,18.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0
2010-02-22,0.0,6.0,3.0,27.0,0.0,0.0,0.0,6.0,1.0,29.0,0.0,0.0
2010-02-23,0.0,13.0,2.0,24.0,0.0,2.0,0.0,13.0,2.0,24.0,0.0,2.0
2010-02-24,0.0,10.0,1.0,43.0,0.0,1.0,0.0,10.0,1.0,43.0,0.0,1.0
2010-02-25,0.0,16.0,1.0,23.0,0.0,0.0,0.0,16.0,0.0,24.0,0.0,0.0
2010-02-26,1.0,15.0,0.0,26.0,1.0,0.0,1.0,15.0,1.0,25.0,0.0,1.0
2010-02-27,0.0,9.0,1.0,14.0,0.0,0.0,0.0,9.0,1.0,14.0,0.0,0.0
2010-03-01,0.0,7.0,1.0,31.0,0.0,0.0,1.0,6.0,1.0,31.0,0.0,0.0
2010-03-02,0.0,13.0,0.0,30.0,0.0,1.0,1.0,12.0,3.0,27.0,0.0,1.0
2010-03-03,0.0,16.0,1.0,29.0,0.0,3.0,0.0,16.0,1.0,29.0,1.0,2.0
2010-03-04,2.0,12.0,1.0,32.0,0.0,1.0,2.0,12.0,1.0,32.0,0.0,1.0
2010-03-05,1.0,10.0,4.0,25.0,0.0,2.0,1.0,10.0,1.0,28.0,0.0,2.0
2010-03-06,0.0,5.0,4.0,12.0,0.0,1.0,0.0,5.0,1.0,15.0,0.0,1.0
2010-03-08,0.0,5.0,1.0,33.0,0.0,1.0,0.0,5.0,6.0,28.0,0.0,1.0
2010-03-09,1.0,12.0,2.0,34.0,0.0,0.0,0.0,13.0,3.0,33.0,0.0,0.0
2010-03-10,1.0,13.0,1.0,25.0,0.0,2.0,0.0,14.0,2.0,24.0,0.0,2.0
2010-03-11,2.0,14.0,5.0,37.0,0.0,0.0,0.0,16.0,3.0,39.0,0.0,0.0
2010-03-12,0.0,7.0,2.0,42.0,0.0,0.0,0.0,7.0,3.0,41.0,0.0,0.0
2010-03-13,0.0,6.0,2.0,25.0,0.0,0.0,0.0,6.0,1.0,26.0,0.0,0.0
2010-03-15,1.0,8.0,3.0,41.0,0.0,1.0,0.0,9.0,3.0,41.0,0.0,1.0
2010-03-16,0.0,17.0,1.0,22.0,1.0,0.0,2.0,15.0,1.0,22.0,0.0,1.0
2010-03-17,0.0,12.0,2.0,34.0,0.0,1.0,0.0,12.0,4.0,32.0,0.0,1.0
2010-03-18,0.0,10.0,1.0,45.0,0.0,1.0,0.0,10.0,1.0,45.0,0.0,1.0
2010-03-19,1.0,8.0,3.0,32.0,0.0,0.0,0.0,9.0,1.0,34.0,0.0,0.0
2010-03-20,0.0,4.0,2.0,16.0,0.0,0.0,0.0,4.0,2.0,16.0,0.0,0.0
2010-03-22,0.0,8.0,1.0,35.0,0.0,0.0,1.0,7.0,2.0,34.0,0.0,0.0
2010-03-23,2.0,10.0,1.0,24.0,0.0,1.0,1.0,11.0,1.0,24.0,0.0,1.0
2010-03-24,0.0,7.0,3.0,34.0,0.0,0.0,0.0,7.0,2.0,35.0,0.0,0.0
2010-03-25,0.0,11.0,0.0,28.0,0.0,1.0,1.0,10.0,2.0,26.0,0.0,1.0
2010-03-26,0.0,9.0,0.0,21.0,0.0,2.0,0.0,9.0,0.0,21.0,0.0,2.0
2010-03-29,0.0,6.0,1.0,33.0,0.0,0.0,1.0,5.0,2.0,32.0,0.0,0.0
2010-03-30,0.0,11.0,1.0,26.0,0.0,0.0,0.0,11.0,0.0,27.0,0.0,0.0
2010-03-31,0.0,14.0,2.0,39.0,0.0,0.0,1.0,13.0,3.0,38.0,0.0,0.0
2010-04-01,0.0,8.0,2.0,41.0,0.0,2.0,0.0,8.0,1.0,42.0,0.0,2.0
2010-04-02,0.0,5.0,4.0,27.0,0.0,0.0,1.0,4.0,1.0,30.0,0.0,0.0
2010-04-03,1.0,2.0,2.0,11.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0
2010-04-05,0.0,4.0,0.0,29.0,0.0,1.0,0.0,4.0,0.0,29.0,0.0,1.0
2010-04-06,0.0,18.0,0.0,36.0,0.0,1.0,0.0,18.0,0.0,36.0,0.0,1.0
2010-04-07,2.0,11.0,1.0,39.0,0.0,2.0,3.0,10.0,1.0,39.0,0.0,2.0
2010-04-08,1.0,12.0,3.0,44.0,0.0,1.0,1.0,12.0,0.0,47.0,0.0,1.0
2010-04-09,0.0,10.0,0.0,33.0,0.0,0.0,1.0,9.0,2.0,31.0,0.0,0.0
2010-04-10,0.0,8.0,1.0,15.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,0.0
2010-04-12,0.0,10.0,2.0,40.0,0.0,0.0,1.0,9.0,4.0,38.0,0.0,0.0
2010-04-13,0.0,8.0,0.0,31.0,0.0,1.0,0.0,8.0,0.0,31.0,0.0,1.0
2010-04-14,0.0,5.0,3.0,39.0,0.0,1.0,0.0,5.0,1.0,41.0,0.0,1.0
2010-04-15,0.0,6.0,3.0,28.0,0.0,0.0,0.0,6.0,2.0,29.0,0.0,0.0
2010-04-16,0.0,7.0,2.0,40.0,0.0,1.0,1.0,6.0,4.0,38.0,0.0,1.0
2010-04-17,0.0,4.0,1.0,17.0,0.0,0.0,0.0,4.0,1.0,17.0,0.0,0.0
2010-04-19,0.0,6.0,0.0,39.0,0.0,0.0,1.0,5.0,2.0,37.0,0.0,0.0
2010-04-20,0.0,11.0,4.0,30.0,0.0,0.0,0.0,11.0,0.0,34.0,0.0,0.0
2010-04-21,1.0,17.0,1.0,34.0,0.0,1.0,1.0,17.0,2.0,33.0,0.0,1.0
2010-04-22,2.0,13.0,1.0,38.0,0.0,2.0,0.0,15.0,3.0,36.0,0.0,2.0
2010-04-23,0.0,8.0,0.0,26.0,0.0,3.0,0.0,8.0,1.0,25.0,1.0,2.0
2010-04-24,0.0,2.0,1.0,18.0,0.0,0.0,1.0,1.0,2.0,17.0,0.0,0.0
2010-04-26,0.0,9.0,1.0,35.0,1.0,2.0,0.0,9.0,0.0,36.0,1.0,2.0
2010-04-27,1.0,13.0,2.0,29.0,0.0,0.0,0.0,14.0,3.0,28.0,0.0,0.0
2010-04-28,1.0,10.0,0.0,28.0,0.0,1.0,1.0,10.0,2.0,26.0,0.0,1.0
2010-04-29,0.0,9.0,1.0,29.0,0.0,3.0,0.0,9.0,0.0,30.0,0.0,3.0
2010-04-30,0.0,7.0,0.0,40.0,1.0,0.0,1.0,6.0,5.0,35.0,1.0,0.0
2010-05-01,0.0,3.0,1.0,14.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0
2010-05-03,0.0,6.0,2.0,39.0,0.0,2.0,0.0,6.0,1.0,40.0,0.0,2.0
2010-05-04,0.0,15.0,0.0,27.0,0.0,0.0,1.0,14.0,2.0,25.0,0.0,0.0
2010-05-05,1.0,10.0,1.0,43.0,0.0,1.0,0.0,11.0,5.0,39.0,0.0,1.0
2010-05-06,0.0,13.0,1.0,29.0,0.0,1.0,0.0,13.0,0.0,30.0,0.0,1.0
2010-05-07,1.0,10.0,1.0,35.0,1.0,0.0,0.0,11.0,2.0,34.0,0.0,1.0
2010-05-08,0.0,3.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0
2010-05-10,0.0,6.0,2.0,25.0,0.0,0.0,0.0,6.0,2.0,25.0,0.0,0.0
2010-05-11,1.0,8.0,0.0,23.0,0.0,0.0,1.0,8.0,1.0,22.0,0.0,0.0
2010-05-12,1.0,9.0,1.0,37.0,1.0,0.0,0.0,10.0,0.0,38.0,0.0,1.0
2010-05-13,2.0,10.0,2.0,32.0,0.0,0.0,2.0,10.0,1.0,33.0,0.0,0.0
2010-05-14,1.0,11.0,0.0,36.0,0.0,1.0,1.0,11.0,0.0,36.0,0.0,1.0
2010-05-15,1.0,5.0,0.0,18.0,0.0,0.0,0.0,6.0,1.0,17.0,0.0,0.0
2010-05-17,0.0,10.0,2.0,37.0,0.0,0.0,2.0,8.0,3.0,36.0,0.0,0.0
2010-05-18,1.0,13.0,2.0,26.0,0.0,0.0,2.0,12.0,0.0,28.0,0.0,0.0
2010-05-19,0.0,12.0,2.0,38.0,0.0,1.0,1.0,11.0,3.0,37.0,0.0,1.0
2010-05-20,2.0,8.0,3.0,37.0,0.0,0.0,0.0,10.0,2.0,38.0,0.0,0.0
2010-05-21,0.0,8.0,0.0,31.0,0.0,0.0,0.0,8.0,0.0,31.0,0.0,0.0
2010-05-22,0.0,1.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,21.0,0.0,0.0
2010-05-23,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
2010-05-24,0.0,7.0,2.0,45.0,0.0,0.0,1.0,6.0,2.0,45.0,0.0,0.0
2010-05-25,0.0,12.0,1.0,30.0,0.0,0.0,0.0,12.0,1.0,30.0,0.0,0.0
2010-05-26,0.0,8.0,1.0,31.0,0.0,0.0,2.0,6.0,0.0,32.0,0.0,0.0
2010-05-27,1.0,3.0,0.0,39.0,0.0,2.0,0.0,4.0,2.0,37.0,0.0,2.0
2010-05-28,0.0,8.0,0.0,31.0,0.0,1.0,0.0,8.0,2.0,29.0,0.0,1.0
2010-05-29,0.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0
2010-05-31,0.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,19.0,0.0,0.0
2010-06-01,0.0,14.0,1.0,24.0,0.0,0.0,1.0,13.0,0.0,25.0,0.0,0.0
2010-06-02,1.0,14.0,1.0,32.0,0.0,2.0,1.0,14.0,2.0,31.0,0.0,2.0
2010-06-03,0.0,15.0,3.0,39.0,0.0,1.0,1.0,14.0,2.0,40.0,0.0,1.0
2010-06-04,0.0,3.0,2.0,23.0,0.0,1.0,1.0,2.0,2.0,23.0,0.0,1.0
2010-06-05,0.0,5.0,2.0,26.0,0.0,1.0,0.0,5.0,2.0,26.0,0.0,1.0
2010-06-07,0.0,3.0,2.0,46.0,0.0,0.0,0.0,3.0,0.0,48.0,0.0,0.0
2010-06-08,0.0,10.0,2.0,28.0,0.0,1.0,0.0,10.0,0.0,30.0,0.0,1.0
2010-06-09,0.0,11.0,3.0,33.0,0.0,4.0,0.0,11.0,2.0,34.0,1.0,3.0
2010-06-10,0.0,8.0,1.0,43.0,0.0,1.0,0.0,8.0,1.0,43.0,0.0,1.0
2010-06-11,0.0,11.0,2.0,40.0,0.0,0.0,0.0,11.0,3.0,39.0,0.0,0.0
2010-06-12,0.0,4.0,1.0,16.0,0.0,0.0,1.0,3.0,2.0,15.0,0.0,0.0
2010-06-13,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0
2010-06-14,0.0,4.0,0.0,43.0,0.0,1.0,0.0,4.0,0.0,43.0,0.0,1.0
2010-06-15,1.0,8.0,3.0,28.0,0.0,1.0,2.0,7.0,2.0,29.0,0.0,1.0
2010-06-16,0.0,7.0,3.0,38.0,0.0,1.0,0.0,7.0,1.0,40.0,0.0,1.0
2010-06-17,0.0,11.0,1.0,33.0,0.0,0.0,0.0,11.0,2.0,32.0,0.0,0.0
2010-06-18,0.0,11.0,0.0,26.0,0.0,1.0,0.0,11.0,0.0,26.0,1.0,0.0
2010-06-19,0.0,5.0,1.0,15.0,0.0,0.0,2.0,3.0,1.0,15.0,0.0,0.0
2010-06-21,0.0,5.0,1.0,49.0,0.0,2.0,0.0,5.0,4.0,46.0,0.0,2.0
2010-06-22,0.0,5.0,1.0,26.0,0.0,0.0,0.0,5.0,1.0,26.0,0.0,0.0
2010-06-23,0.0,7.0,1.0,30.0,0.0,0.0,0.0,7.0,1.0,30.0,0.0,0.0
