rec_date,dj_headline_neu,dj_headline_pos,dj_headline_neg,nytimes_headline_neu,nytimes_headline_pos,nytimes_headline_neg,wsj_headline_neu,wsj_headline_pos,wsj_headline_neg,dj_abstract_pos,dj_abstract_neg,dj_abstract_neu,nytimes_abstract_pos,nytimes_abstract_neg,nytimes_abstract_neu,wsj_abstract_pos,wsj_abstract_neg,wsj_abstract_neu
2010-01-04,3.0,2.0,0.0,19.0,9.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,19.0,7.0,6.0,0.0,0.0,1.0
2010-01-05,8.0,6.0,0.0,22.0,7.0,7.0,1.0,1.0,0.0,8.0,1.0,5.0,18.0,5.0,13.0,2.0,0.0,0.0
2010-01-06,7.0,3.0,0.0,29.0,6.0,6.0,3.0,0.0,1.0,6.0,0.0,4.0,21.0,7.0,13.0,2.0,1.0,1.0
2010-01-07,23.0,9.0,1.0,38.0,12.0,8.0,4.0,1.0,0.0,15.0,7.0,11.0,28.0,14.0,16.0,3.0,2.0,0.0
2010-01-08,17.0,10.0,3.0,29.0,8.0,5.0,2.0,0.0,1.0,13.0,3.0,14.0,19.0,7.0,16.0,3.0,0.0,0.0
2010-01-09,11.0,5.0,0.0,13.0,5.0,2.0,2.0,0.0,0.0,10.0,3.0,3.0,9.0,5.0,6.0,1.0,1.0,0.0
2010-01-10,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0
2010-01-11,6.0,2.0,0.0,26.0,9.0,11.0,0.0,0.0,0.0,4.0,2.0,2.0,22.0,13.0,11.0,0.0,0.0,0.0
2010-01-12,6.0,2.0,1.0,13.0,11.0,3.0,0.0,1.0,0.0,4.0,1.0,4.0,13.0,9.0,5.0,0.0,0.0,1.0
2010-01-13,7.0,2.0,0.0,37.0,8.0,6.0,2.0,0.0,0.0,3.0,0.0,6.0,24.0,18.0,9.0,0.0,1.0,1.0
2010-01-14,7.0,2.0,2.0,12.0,10.0,6.0,3.0,0.0,0.0,7.0,0.0,4.0,14.0,8.0,6.0,2.0,1.0,0.0
2010-01-15,8.0,4.0,1.0,24.0,11.0,1.0,2.0,0.0,0.0,9.0,1.0,3.0,12.0,11.0,13.0,1.0,1.0,0.0
