rec_date,dj_headline_pos,dj_headline_neg,nytimes_headline_pos,nytimes_headline_neg,wsj_headline_pos,wsj_headline_neg,dj_abstract_pos,dj_abstract_neg,nytimes_abstract_pos,nytimes_abstract_neg,wsj_abstract_pos,wsj_abstract_neg
2010-01-04,5.0,0.0,28.0,4.0,1.0,0.0,3.0,2.0,25.0,7.0,1.0,0.0
2010-01-05,14.0,0.0,29.0,7.0,2.0,0.0,13.0,1.0,31.0,5.0,2.0,0.0
2010-01-06,10.0,0.0,35.0,6.0,3.0,1.0,10.0,0.0,34.0,7.0,3.0,1.0
2010-01-07,32.0,1.0,50.0,8.0,5.0,0.0,26.0,7.0,44.0,14.0,3.0,2.0
2010-01-08,27.0,3.0,37.0,5.0,2.0,1.0,27.0,3.0,35.0,7.0,3.0,0.0
2010-01-09,16.0,0.0,18.0,2.0,2.0,0.0,13.0,3.0,15.0,5.0,1.0,1.0
2010-01-10,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0
2010-01-11,8.0,0.0,35.0,11.0,0.0,0.0,6.0,2.0,33.0,13.0,0.0,0.0
2010-01-12,8.0,1.0,24.0,3.0,1.0,0.0,8.0,1.0,18.0,9.0,1.0,0.0
2010-01-13,9.0,0.0,45.0,6.0,2.0,0.0,9.0,0.0,33.0,18.0,1.0,1.0
2010-01-14,9.0,2.0,22.0,6.0,3.0,0.0,11.0,0.0,20.0,8.0,2.0,1.0
2010-01-15,12.0,1.0,35.0,1.0,2.0,0.0,12.0,1.0,25.0,11.0,1.0,1.0
2010-01-16,1.0,0.0,22.0,3.0,2.0,0.0,1.0,0.0,19.0,6.0,1.0,1.0
2010-01-18,1.0,0.0,17.0,6.0,0.0,0.0,1.0,0.0,17.0,6.0,0.0,0.0
2010-01-19,6.0,0.0,26.0,6.0,0.0,1.0,5.0,1.0,19.0,13.0,0.0,1.0
2010-01-20,1.0,1.0,32.0,9.0,2.0,0.0,2.0,0.0,21.0,20.0,2.0,0.0
2010-01-21,4.0,0.0,31.0,10.0,1.0,0.0,4.0,0.0,30.0,11.0,0.0,1.0
2010-01-22,6.0,2.0,28.0,2.0,2.0,0.0,8.0,0.0,23.0,7.0,1.0,1.0
2010-01-23,3.0,1.0,7.0,4.0,2.0,0.0,4.0,0.0,7.0,4.0,1.0,1.0
2010-01-24,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0
2010-01-25,7.0,0.0,32.0,6.0,0.0,0.0,6.0,1.0,30.0,8.0,0.0,0.0
2010-01-26,6.0,3.0,20.0,7.0,1.0,0.0,9.0,0.0,17.0,10.0,0.0,1.0
2010-01-27,8.0,0.0,36.0,6.0,1.0,1.0,7.0,1.0,33.0,9.0,1.0,1.0
2010-01-28,12.0,0.0,23.0,5.0,1.0,0.0,12.0,0.0,16.0,12.0,0.0,1.0
2010-01-29,9.0,2.0,33.0,6.0,1.0,1.0,10.0,1.0,28.0,11.0,1.0,1.0
2010-01-30,10.0,0.0,15.0,4.0,4.0,0.0,8.0,2.0,13.0,6.0,1.0,3.0
